experiment,task,split,metric,mean,std,ci95_low,ci95_high,ci_method,n_seeds,seeds,values
colored_rotation_vit,colored_rotation,test_id,auc,0.5968906666666666,0.02768368077646711,0.5281150407666735,0.6656662925666597,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.610932, 0.61474, 0.565]"
colored_rotation_vit,colored_rotation,test_id,balanced_accuracy,0.564,0.02007485989988475,0.5141272585239858,0.6138727414760141,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.573, 0.578, 0.5409999999999999]"
colored_rotation_vit,colored_rotation,test_id,brier,0.2571155788858058,0.009762761286157065,0.23286157800386958,0.28136957976774196,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.2464765666673058, 0.2592070713346999, 0.26566309865541154]"
colored_rotation_vit,colored_rotation,test_id,fn,221.33333333333334,28.431203515386635,150.70060813145227,291.9660585352144,student_t_over_independent_seeds,3,"[0, 1, 2]","[198.0, 213.0, 253.0]"
colored_rotation_vit,colored_rotation,test_id,fp,214.66666666666666,12.503332889007368,183.60415903912457,245.72917429420875,student_t_over_independent_seeds,3,"[0, 1, 2]","[229.0, 209.0, 206.0]"
colored_rotation_vit,colored_rotation,test_id,log_loss,0.7168682983555291,0.027293910606836978,0.6490609933804127,0.7846756033306456,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.6855583659886088, 0.7294049865529592, 0.7356415425250196]"
colored_rotation_vit,colored_rotation,test_id,n,1000.0,0.0,1000.0,1000.0,student_t_over_independent_seeds,3,"[0, 1, 2]","[1000.0, 1000.0, 1000.0]"
colored_rotation_vit,colored_rotation,test_id,threshold,0.5,0.0,0.5,0.5,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.5, 0.5, 0.5]"
colored_rotation_vit,colored_rotation,test_id,tn,285.3333333333333,12.503332889007368,254.27082570579122,316.39584096087543,student_t_over_independent_seeds,3,"[0, 1, 2]","[271.0, 291.0, 294.0]"
colored_rotation_vit,colored_rotation,test_id,tp,278.6666666666667,28.431203515386635,208.0339414647856,349.2993918685478,student_t_over_independent_seeds,3,"[0, 1, 2]","[302.0, 287.0, 247.0]"
colored_rotation_vit,colored_rotation,test_ood_angle,accuracy,0.5896666666666667,0.014571661996262942,0.5534657300105831,0.6258676033227503,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.596, 0.6, 0.573]"
colored_rotation_vit,colored_rotation,test_ood_angle,accuracy_ci95_high,0.6197452998895696,0.014359416411723029,0.5840716530487063,0.6554189467304329,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.6259897913791838, 0.6299252187886226, 0.6033208895009023]"
colored_rotation_vit,colored_rotation,test_ood_angle,accuracy_ci95_low,0.5589017680886874,0.014672383817382149,0.5224506043639855,0.5953529318133893,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.5652754709915896, 0.5693094295142662, 0.5421204037602065]"
colored_rotation_vit,colored_rotation,test_ood_angle,auc,0.625572,0.027313395468158135,0.5577162880394196,0.6934277119605804,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.638036, 0.64443, 0.59425]"
