model,router_mode,metric,n_seeds,mean,std,ci95_low,ci95_high,ci95_low_display,ci95_high_display
maze_moe,tetris_only,obstacle_violation_rate,3,1.1142364043431977e-05,9.650940303135391e-06,-1.2833835697891243e-05,3.51185637847552e-05,0.0,3.51185637847552e-05
maze_moe,tetris_only,off_path_activation_rate_at_0_1,3,0.11063104038437208,0.060076217194962665,-0.038618601404582495,0.2598806821733266,0.0,0.2598806821733266
maze_moe,tetris_only,path_precision,3,0.7537449789047241,0.18866425829730107,0.28503915347182707,1.2224508043376212,0.28503915347182707,1.0
maze_moe,tetris_only,path_recall,3,0.6600606258710225,0.2239952558137589,0.10358065336982569,1.2165405983722195,0.10358065336982569,1.0
maze_moe,tetris_only,premature_activation_rate,3,0.17488226473331453,0.0401954202864742,0.07502324631602683,0.2747412831506022,0.07502324631602683,0.2747412831506022
maze_moe,tetris_only,router_entropy,3,0.0,0.0,0.0,0.0,0.0,0.0
maze_moe,tetris_only,router_tetris_weight,3,1.0,0.0,1.0,1.0,1.0,1.0
maze_moe,tetris_only,router_tetris_weight_on_path,3,1.0,0.0,1.0,1.0,1.0,1.0
maze_moe,tetris_only,router_tetris_weight_on_walls,3,1.0,0.0,1.0,1.0,1.0,1.0
maze_moe,tetris_only,trajectory_mse,3,0.05499303640176853,0.03645884116227083,-0.03558305572883874,0.1455691285323758,0.0,0.1455691285323758
maze_moe,uniform,activation_time_mae_normalized,3,0.06915910522143046,0.0032732098432030126,0.06102734494410242,0.07729086549875852,0.06102734494410242,0.07729086549875852
maze_moe,uniform,endpoint_iou,3,0.9771191533406576,0.00877336235755586,0.9553231540203192,0.998915152660996,0.9553231540203192,0.998915152660996
maze_moe,uniform,endpoint_mse,3,0.005836882209405303,0.0021905384985997827,0.00039484372053145284,0.011278920698279153,0.00039484372053145284,0.011278920698279153
maze_moe,uniform,future_path_activation_rate_at_0_1,3,0.3921379637718201,0.04493401962251513,0.2805066619700721,0.503769265573568,0.2805066619700721,0.503769265573568
maze_moe,uniform,future_path_activation_rate_at_0_5,3,0.15410218278566998,0.023057474254571945,0.09681961850761395,0.211384747063726,0.09681961850761395,0.211384747063726
maze_moe,uniform,future_path_mean_intensity,3,0.1850346440076828,0.02353951791096397,0.12655452025597236,0.24351476775939324,0.12655452025597236,0.24351476775939324
maze_moe,uniform,goal_reached,3,0.9991666666666666,0.0014433756729740337,0.9955808333333334,1.0027525,0.9955808333333334,1.0
maze_moe,uniform,intermediate_prefix_iou,3,0.8359164730707804,0.006900339527206775,0.8187736959329395,0.8530592502086214,0.8187736959329395,0.8530592502086214
